,quote,author,category
213255,Choose faith to live life rather than fear.,"Lailah Gifty Akita, Think Great: Be Great!","adversitiy, choices, christian-life, faith, fear, fighting-spirit, hope, inspirational, life, life-lessons, motivational-positive-thinking, obstacles, overcomer, positivity, self-confidence, self-esteem, self-love, uplifting, wisdom-of-lailah-gifty-akita"
133960,Hope is the light through which we see the future.,Debasish Mridha,"education, happiness, hope, inspirational, intelligence, knowledge, life, love, philosophy, quote, truth, wisdom"
455852,"Religion, any religion, no matter what sort of wonderful religion, never be universal. So now education is universal, so we have to sort of find ways and means through education system, from kindergarten up to university level, to make awareness these good things, the values, inner values.",Dalai Lama,"Education, Good, Values "
86529,"Roses do not bloom hurriedly; for beauty, like any masterpiece, takes time to blossom.",Matshona Dhliwayo,"beauty-quotes, bloom-quotes, blossom, blossoming, brilliance-quotes, excellence-quotes, flower-quotes, genius-quotes, hurry, inner-beauty-quotes, life-lesson-quotes, life-lessons-quotations, life-lessons-quote, life-lessons-quotes, life-quotations, life-quote, life-quotes, life-quotes-and-sayings, life-quotes-inspirational-quotes, masterpiece-quotes, mastery-quotes, motivation-quotes, motivational-quotations, motivational-quote, motivational-quote-of-the-day, motivational-quotes, patience-quotes, rose-quotes, roses-quotes, stand-out-quotes, success-quotes, take-time, time-quotes"
328599,"I pulled the blanket around my shoulders. The sky was dark and vast and empty and not even a plane disturbed that sullen stillness, not even a star. The emptiness above was now mine within. It was a part of me, like a freckle, like a bruise. Like a middle name now one acknowledged.",Sarah Winman,life-changing
377447,"He could have a break at last, albeit a short one, one he sorely needed. And with that appealing thought he further squelched the subconscious screams, true message lost in the deceptive world of emotion and will.","Marcha A. Fox, A Psilent Place Below","burned-out, deceived, deception, science-fiction-young-adult, subconscious, tired"
254020,What keeps my heart awake is colorful silence.,Claude Monet,"art, monet, painting, silence"
9075,"Rae burned me. She has matches or something. Look, look..."" Tori pulled down the collar of her T-shirt. ""Leave your cloths on, Tori,"" Simon said, raising his hands to his eyes. ""Please.","Kelley Armstrong, The Summoning","humor, simon, the-summoning"
220115,"Many people are not ready to pay for advice they can use, so the few that do, break boundaries and soar higher.",Bernard Kelvin Clive,"advice, coaching-quotes, consulting, teaching, value"
274757,"Ever theatrical, Jackie also viewed the home as a grand set: a malleable, working stage on which to play out the daily sketches of life...","Shelly Branch, What Would Jackie Do?: An Inspired Guide to Distinctive Living","home, life, stage"
258535,"He'll put a real smile on your face, the one that lights up your eyes. He'll make you laugh everyday, tell you some stupid jokes, so then you will have no time to nurture the sad feeling hidden inside you. He will always be there for you until someday, you wake up, feel the sun upon your face, and realize; that the sadness is not there anymore.' - Sinar to Nina","Nilam Suri, Camar Biru: Cinta Tak Selalu Tepat Waktu","camarbiru, happy, love, lovers"
26174,"I look for you in every life, but I don't always find you. And sometimes I find you too late.","Kirsten Miller, The Eternal Ones","eternal, paranormal, romance"
28345,"Magic comes from the heart, from your feelings, your deepest expressions of desire. That's why black magic is so easy—it comes from lust, from fear and anger, from things that are easy to feed and make grow. The sort I do is harder. It comes from something deeper than that, a truer and purer source—harder to tap, harder to keep, but ultimately more elegant, more powerful. My magic. That was at the heart of me. It was a manifestation of what I believed, what I lived. It came from my desire to see to it that someone stood between the darkness and the people it would devour. It came from my love of a good steak, from the way I would sometimes cry at a good movie or a moving symphony. From my life. From the hope that I could make things better for someone else, if not always for me. Somewhere, in all of that, I touched on something that wasn't tapped out, in spite of how horrible the past days had been, something that hadn't gone cold and numb inside of me. I grasped it, held it in my hand like a firefly, and willed its energy out, into the circle I had created with the spinning amulet on the end of its chain.","Jim Butcher, Fool Moon","character, harry-dresden, hope, magic"
46096,"Covetousness gives birth to violence, while violence gives birth to oppression.","Sunday Adelaja, The Mountain of Ignorance","covetousness, danger, darkness, destruction, god, ignorance, knowledge, life, light, mountain, oppression, people, power, violence, violence-in-society"
311053,It's not about ideas. It's about making ideas happen.,Scott Belsky,"entrepreneurship, ideas, success"
116041,Don't be reckless. Don't play it safe.,"Walter E. Jacobson, M.D.",self-help
268134,"Repentance is a result of God's kindness, not a prerequisite to it.",D.R. Silva,"christianity, church, questions, religion, repentance, sin, think"
296641,Christianity sees in the picture of Jesus as the Christ a human life in which all forms of anxiety are present but in which all forms of despair are absent.,"Paul Tillich, Systematic Theology, Vol 1","anxiety, despair, jesus-the-christ"
433280,"I have probably purchased fifty 'hot tips' in my career, maybe even more. When I put them all together, I know I am a net loser.",Charles Schwab,"Together, I Am, Know "
313940,"Most people would say they love animals, but the reality is, if your using animals for food, clothing, or entertainment, you're only considering the lives of certain animals, typically those of cats and dogs.","Melisser Elliott, The Vegan Girl's Guide to Life: Cruelty-Free Crafts, Recipes, Beauty Secrets and More","animals, melisser-elliott, vegan"
291323,Success is always earned with patience.,Junaid Raza,"patience, success"
156035,"A man has the strength to face what he is thrown in life. If he falls or is beaten, he does not complain but gets up and rides in to face the challenge once more.","Cheryl Matthynssens, The Blackguard","challenge, character, man, strength, what-makes-a-man"
291330,"No one has ever died of restlessness, but rashness is another matter. We've planted seeds, let them grow.",George R.R. Martin,"patience, restlessness, rush"
112406,"Pain, Rhuan decided, did not simply hurt. Pain also exhausted a person, sapped his soul, thinned his spirit. Worse, pain was tedious.","Jennifer Roberson, Deepwood","humor, pain"
209471,"Perhaps I occasionally sought to give, or inadvertently gave, to the student a sense of battle on the intellectual battlefield. If all you do is to give them a faultless and complete and uninhabited architectural masterpiece, then you do not help them to become builders of their own.",Carl-Gustaf Rossby,"battlefield, builder, growth, help, intellect, masterpiece, student, teaching, tutor"
456386,"Healing is a matter of time, but it is sometimes also a matter of opportunity.",Hippocrates,"Health, Opportunity, Healing "
48219,"If you are willing to work for it, you can obtain whatever you want. Just put in the hard work and watch everything begin to move your way.",Avina Celeste,"inspirational, motivational, success, work"
94512,For every summer & every summer after.Promise your-self to bare a bit more.To take things to a new level.To reinvent. To reflect back.To keep things humble.To tie up loose ends &Let the Sparks Fly...,Jennifer Pierre,"inspiration, love, self-love, soul"
361878,Don't be a one hit wonder. Daringly disrupt the marketplace again and again.,Catrice M. Jackson,"branding, branding-expert, branding-quotes, catriceology, marketing, marketing-expert, marketing-quotes"
250208,"Everybody Communicate, but few Connect.Why? because finding a common ground to build a connection is a matter of knowledge and perception!",Lydor Brunice,positive-thoughts
80562,"Nature smiles at the union of freedom and equality in our utopias. For freedom and equality are sworn and everlasting enemies, and when one prevails the other dies.",Will Durant,"equality, freedom"
174809,"Life is a procession of painful lessons, and how precious those lessons are; so precious that we rejoice in the bitter-sweet gift of life.","Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life","gifts, growth, learning, pain"
151828,"I believe there is a reason such as autism, severe manic-depression, and schizophrenia remain in our gene pool even though there is much suffering as a result.","Temple Grandin, Thinking in Pictures: My Life with Autism","autism, psychology, society"
213645,"You go on. You set one foot in front of the other, and if a thin voice cries out, somewhere behind you, you pretend not to hear, and keep going.","Geraldine Brooks, March","past, perseverance"
23846,"I'm so alive.As I stand facing the beauty of the never-ending Pacific Ocean, a late afternoon breeze blows down from the hills behind. As always, it is a beautiful day. The sun is making its final descent. The magic is about to begin. The skies are ready to burn with brilliance, as it turns from a soft blue to a bright orange. Looking towards the West, I stare in awe at the hypnotic power of the waves. A giant curl begins to take form, then breaks with a thundering clap as it crashes on the shore.","Dave Pelzer, A Child Called ""It""","dawn, happiness, magic, optimism, seashore"
177890,"It's not your knowledge, skill, status & good look that enable you to do great things. It's your trustworthiness. But, you've to EARN it...","Assegid Habtewold, The 9 Cardinal Building Blocks: For Continued Success in Leadership","credible, dependable, trust, trustworthy"
16405,"O child of God, be more careful to keep the way of the Lord, more concentrated in heart in seeking His glory, and you will see the loving-kindness and the tender mercy of the Lord in your life.","Charles Haddon Spurgeon, Grace God's Unmerited Favor","god, mercy"
150437,"It was the 'Are the boys doing it?' basis on which I finally decided I was against women wearing burkas. Yes, the idea is that it protects your modesty, and ensures that people regard you as a human being, rather than just a sexual object (...) But who are you being protected from? Men. And who - so long as you play by the rules, and wear the correct clothes - is protecting you from the men? Men. And who is it that is regarding you as a sexual object, instead of another human being, in the first place? Men. Well. This all seems like quite a man-based problem, really. (...) I don't know why we're suddenly having to put things on our heads to make it better.","Caitlin Moran, How to Be a Woman","double-standards, feminism, misogyny, modesty-mindsets, objectification-of-women, oppression, oppressive-body-coverings, patriarchy"
83052,"His Scotch bear-leader, Mr Boswell, was a butt of the first quality.","William Makepeace Thackeray, Barry Lyndon","humour, insult"
210288,"Entrepreneur, the development of your daily discipline will determine then deliver your desired distinction.",Onyi Anyado,"developing-leadership-skills, development, discipline, distinction, entrepreneur, entrepreneur-quotes, entrepreneurship, entrepreneurship-quotes, goal-setting, goals-quotes, onyi-anyado, personal-development, personal-growth, quotes-about-life, quotes-to-live-by, the-doorway-to-distinction"
476414,I am a big believer in marriage.,Kate Winslet,"I Am, Big, Big Believer "
125581,"However, the primary job of a servant of God is to speak or to write words to convict people of God's truth. So, in the speaking or in the writing of words, he witnesses for God.",Richard T. Ritenbaugh,"christian, inspirational, writing"
295136,...I remember your profile in darkness outlined by stars ...,"John Geddes, A Familiar Rain","adoration, beauty, love, stars"
412306,Good breeding consists in concealing how much we think of ourselves and how little we think of the other person.,Mark Twain,"openers, introductions"
40667,The best writing is rewriting.,E.B. White,writing
30405,"Sometimes, when people look at me, I can see the pity in their eyes. All I want is hope, but neither of us can give it to each other.",Genesis Quihuis,"hope, hopeless, hopelessness, life, pity"
78825,"I have the mind to do so many fields, careers, jobs, and hobbies; but I have the heart to do few fields of work, careers, jobs, and hobbies",Temitope Owosela,"dreams, dreams-aspirations-success, dreams-inspirational, goal, life"
284883,"Every time your heart is broken, a doorway cracks open to a world full of new beginnings, new opportunities.","Patti Roberts, The Angels Are Here","broken-heart, opportunity"
414365,Prayer honors God  acknowledges His being  exalts His power  adores His providence  secures His aid.,E. M. Bounds,prayer
323436,Preston doesn't do well with trouble. But that's why I'm here. That's why my name is Mommy.,"Sadeqa Johnson, Second House from the Corner","mommy, motherhood, mothers, superhero"
436826,"When there were first rumors of us going after LeBron, some fans wondered how we could do that after all that happened. But after the 'Sports Illustrated' letter, every fan is thrilled to have him back. That was so heartfelt.",Dan Gilbert,"First, Back, Fans "
136753,"Passion is the driving element of purpose. When one is possessed with it, labor is not perceived as toil - it is revealed as love.","T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with ""The Divine Presence""","drive, endeavor, journey, labor, life, love, passion, purpose, task, toil, work"
94676,The silence of a wounded soul roars louder than any tempest...,Virginia Alison,"roar, silence, soul, tempest, wounded-soul"
477637,The heart of a mother is a deep abyss at the bottom of which you will always find forgiveness.,Honore de Balzac,"Deep, Mother, Mom "
427391,"Positive energy is meant to give people confidence and hope, encourage people to love their country, society and life, as well as to pursue nice things. Everything we do is ultimately for the sake of spreading positive energy.",Lu Wei,"Love, Life, Positive "
67372,Pessimism becomes a self-fulfilling prophecy it reproduces itself by crippling our willingness to act. ,"Howard Zinn, You Can't Be Neutral on a Moving Train: A Personal History of Our Times","fear, inaction, pessimism, self-fulfilling-prophecy"
294031,Words of sincere felt in heart and trigger smile.,"Toba Beta, My Ancestor Was an Ancient Astronaut","heartfelt, sincerity, smile"
445282,"I'm very lucky that people are able to say, 'Oh, that's that Moody Blues guy!' I'm very fortunate with that. That's all. Without the songs, I think, I'd just be a pretty average karaoke singer. In the end, it comes down to the songs: the strength of the songs.",Justin Hayward,"End, People, Blues "
271661,"People are complaining of having rags and not riches, but I find it a blessing just to have rags, to wipe away the dirt and dust that may come in the course of life.",Anthony Liccione,"blessing, blind, complainers, contentment, dirt, discontent, dust, gratitude, peace, people, rags-and-riches, wipe-away"
253543,"I am not a fan of people who abuse service staff. In fact, I find it intolerable. It’s an unpardonable sin as far as I’m concerned, taking out personal business or some other kind of dissatisfaction on a waiter or busboy.","Anthony Bourdain, Medium Raw: A Bloody Valentine to the World of Food and the People Who Cook",food
305358,"The resurrection is the promise that death will not prevail, that nothingness does not have the last word. God promises to overcome it with life... We can trust that God will overcome death because Jesus is the resurrection, because on the third day Jesus rose again, as the first of many.","Andrew Root, Unlocking Mission and Eschatology in Youth Ministry","practical-theology, resurrection, theology"
47076,...as far as we are capable of knowledge we sin in neglecting to acquire it...,"Gottfried Wilhelm Leibniz, New Essays on Human Understanding","knowledge, life-of-the-mind, philosophy"
46101,The absence of justice anywhere is the presence of injustice everywhere.,"Sunday Adelaja, The Mountain of Ignorance","absence, danger, darkness, destruction, god, ignorance, injustice, justice, knowledge, life, light, mountain, people, power, presence"
90204,But those who seek only reassurance from life will never be more than tourists—seeing everything and trying to possess what can only be felt.Beauty is the shadow of imperfection.,"Simon Van Booy, Everything Beautiful Began After","beauty, imperfection, life"
2264,"I want you, Hank. I'm much more of an animal than you think. I wanted you from the first moment I saw you - and the only thing I'm ashamed of is that I did not know it. I did not know why, for two years, the brightest moments I found were the ones in your office, where I could lift my head to look up at you. I did not know the nature of what I felt in your presence, nor the reason. I know it now. That is all I want, Hank. I want you in my bed - and you are free of me for all the rest of your time. There's nothing you'll have to pretend - don't think of me, don't feel; don't care - I do not want your mind, your will, your being or your soul, so long as it's to me you will come for that lowest one of your desires. I am an animal who wants nothing but the sensation of pleasure which you despise - but I want it from you. You'd give up amy height of virtue for it , while I - I haven't any to give up. There's none I seek or wish to reach. I am so low that I would exchange the greatest sight of beauty in the world for the sight of your figure in the cab of a railroad engine. Amd seeing it, I would not be able to see it indifferently. You don't have to fear that you're now dependent on me. It's I who will depend on any whim of yours. You'll have me anytime you wish, anywhere, on any terms. Did you call it the obscenity of my talent? It's such that it gives you a safer hold on me than on any other property you own. You may dispose of me as you please - I'm not afraid to admit it - I have nothing to protect from you and nothing to reserve. You think that this is a threat to your achievement, but it is not to mine. I will sit at my desk, and work, and when the things around me get hard to bear, I will think that for my reward I will be in your bed that night. Did you call it depravity? I am much more depraved than you are: you hold it as your guilt, and I - as my pride. I'm more proud of it than anything I've done, more proud than of building the Line. If I'm asked to name my proudest attainment, I will say: I have slept with Hank Rearden. I had earned it.",Ayn Rand,"love, passion, sex"
449383,"Real happiness is cheap enough, yet how dearly we pay for its counterfeit.",Hosea Ballou,"Real, Enough, Cheap "
365579,Never judge others but yourself”.,Abdulazeez Henry Musa,reality-of-life
124293,"The emptiness that fills in when once-the-beloved says, ""Who are you?","Vikrmn, Corpkshetra","ca-vikram-verma, chartered-accountant, corpkshetra, corporate, emptiness, motivational-quotes, vikram, vikram-verma, vikrmn, vvck, who-are-you"
320817,Let the Moon and the Stars pour their healing light on you...,Irish Blessing,"blessing, irish"
135426,"Self-courage, Self-confidence, Self-will!","Lailah Gifty Akita, Think Great: Be Great!","christian-life, courage, determination, faith, hope, inner-strength, inspirational, lailah, motivation, self, self-esteem, uplifting"
495077,The fellow that owns his own home is always just coming out of a hardware store.,Kin Hubbard,"Always, Just, Coming "
494639,Illness strikes men when they are exposed to change.,Herodotus,"Men, Illness, Exposed "
414,It's hard being left behind. (...) It's hard to be the one who stays.,"Audrey Niffenegger, The Time Traveler's Wife","being-left, love, time, waiting"
321949,"When her voice cracked and tears started spilling down her cheeks, I panicked. I wasn't good at consoling people at the best of times, but even a trained therapist would have struggled in my shoes. What could you possibly say to a girl who'd dug for hours trying to rescue her family after they'd been buried alive?","Violet Cross, Survivors: Secrets","sarah, secrets, survivors"
66808,But the thought of being a lunatic did not greatly trouble him the horror was that he might also be wrong.  ,"George Orwell, 1984","fear, lunatic, wrong"
18984,Perhaps the hardest lesson to learn is not to be attached to the results of your actions.,Joan Borysenko,wisdom
397418,The most technologically efficient machine that man has ever invented is the book.,Northrop Frye,"books, reading"
352079,Any woman of virtue won't be easy to come by. She will make you jump over hurdles to reach her.,Shannon L. Alder,"barriers, empowering-women, hurdles, obstacles, roadblocks, virtue"
148198,"Some fictions become fixtures in the real city. Their stories are so powerful that they leap off the page on to the streets, irreversibly altering the place where they were set.","Henry Eliot, Curiocity: In Pursuit of London","fiction, fictional-characters"
346392,"I Think, Therefore I Am ... I Think ...",David Ski,"being, existentialism, humor, life"
493771,"It's something that black men still go through to this day, which is women clutching their purses, hitting the lock button on store, or just basic attitudes. And even as a U.S. congressman, as a black man, it is very, very frustrating, and you build up an internal anger about it that you can't act on.",Cedric Richmond,"Day, Women, Man "
15892,"When every hope is gone, 'when helpers fail and comforts flee,' I find that help arrives somehow, from I know not where. Supplication, worship, prayer are no superstition; they are acts more real than the acts of eating, drinking, sitting or walking. It is no exaggeration to say that they alone are real, all else is unreal.","Mahatma Gandhi, The Story of My Experiments With Truth","faith, gandhi, god, mohandas, prayer, religion, religious, worship"
420625,A tree depicts divinest plan  But God himself lives in a man.,Anonymous,tree
120761,If your questioning whether something will work or not. Remember that life is an experiment. Don't over analyze just act with heart and passion and move forward in compassion.,Matthew Donnelly,"compassion, experiment, heart, passion, question"
93510,Gratefulness is the glory to God.,"Lailah Gifty Akita, Think Great: Be Great!","christian-life, christianity, faith, god, gratefulness, gratitude, hope, inspirational, religion, spirituality, thank-you, wise-words"
362541,"Life is full of games. Be a proactive player. Most importantly, know who is throwing at you, what and why. When you do, life becomes fun...","Assegid Habtewold, The 9 Cardinal Building Blocks: For Continued Success in Leadership","fun, games, life, proactive"
402691,If you can't be thankful for what you receive  be thankful for what you escape.,Anonymous,forgiveness
93849,"Loving someone can be hard at times. You risk a lot when you love - your heart and soul, at the least. Love is the most important and most rewarding investment you can make in another person.","J.E.B. Spredemann, A Secret of the Heart","heart, heart-and-soul, importance, investment, love, loving, loving-someone, others, risk, soul, vulnerability"
437693,The day is not far off when we will be able to send a robotically controlled genome-sequencing unit in a probe to other planets to read the DNA sequence of any alien microbe life that may be there.,Craig Venter,"Life, Day, Alien "
91324,"The sons of Dior and Nimloth were Elured and Elurin; and a daughter also was born to them, and she was named Elwing, which is Star-spray, for she was born on a night of stars, whose light glittered in the spray of the waterfall of Lanthir Lamath beside her father's house.","J.R.R. Tolkien, The Silmarillion","beauty, nature"
493182,What's with you men? Would hair stop growing on your chest if you asked directions somewhere?,Erma Bombeck,"Hair, You, Stop "
48652,Failure is a fundamental piece of success.,"Ben Tolosa, Masterplan Your Success","failure, success"
51909,Commitment is another name for relationship not the compromise.,Santosh Kalwar,relationships
335029,"I get that Christmas is generally schmaltzy. I understand that it is used as a cynical cash grab. I know how far it is from what Jesus would have wanted. Nevertheless, I like that people put forth some effort to see one another during this season, that some people shake out of their commonplace anthood and toward sainthood.","Thomm Quackenbush, A Creature Was Stirring","christmas, cynical, sincerity"
220595,"As I began to love myself I found that anguish and emotional suffering are only warning signs that I was living against my own truth. Today, I know, this is “AUTHENTICITY”.As I began to love myself I understood how much it can offend somebody if I try to force my desires on this person, even though I knew the time was not right and the person was not ready for it, and even though this person was me. Today I call it “RESPECT”.As I began to love myself I stopped craving for a different life, and I could see that everything that surrounded me was inviting me to grow. Today I call it “MATURITY”.As I began to love myself I understood that at any circumstance, I am in the right place at the right time, and everything happens at the exactly right moment. So I could be calm. Today I call it “SELF-CONFIDENCE”.As I began to love myself I quit stealing my own time, and I stopped designing huge projects for the future. Today, I only do what brings me joy and happiness, things I love to do and that make my heart cheer, and I do them in my own way and in my own rhythm. Today I call it “SIMPLICITY”.As I began to love myself I freed myself of anything that is no good for my health – food, people, things, situations, and everything that drew me down and away from myself. At first I called this attitude a healthy egoism. Today I know it is “LOVE OF ONESELF”.As I began to love myself I quit trying to always be right, and ever since I was wrong less of the time. Today I discovered that is “MODESTY”.As I began to love myself I refused to go on living in the past and worrying about the future. Now, I only live for the moment, where everything is happening. Today I live each day, day by day, and I call it “FULFILLMENT”.As I began to love myself I recognized that my mind can disturb me and it can make me sick. But as I connected it to my heart, my mind became a valuable ally. Today I call this connection “WISDOM OF THE HEART”.We no longer need to fear arguments, confrontations or any kind of problems with ourselves or others. Even stars collide, and out of their crashing new worlds are born. Today I know “THAT IS LIFE”!",Charlie Chaplin,"charlie-chaplin, self-love, self-love-quotes"
353493,"They were two people staring at each other knowingly, communicating psychically amidst an ocean of deaf, dumb and blind meatsacks.","Travis Luedke, The Nightlife: Las Vegas","intuition, psychic, telepathy"
178247,"Did you know that each day that dawns, you are in ""TODAY?"" Stay in ""Today"" and you will never have to worry about tomorrow. God will take care of tomorrow.",Pazaria Smith,"faith-quotes, today, tomorrow, trust, worry"
131709,"She understood now that while it had been wrong to kill Cansrel, it had also been right. The boy with the strange eyes had helped her to see the rightness of it. The boy who'd killed Archer. Some people had too much power and too much cruelty to live. Some people were too terrible, no matter if you loved them; no matter that you had to make yourself terrible too, in order to stop them. Some things just had to be done.I forgive myself, though Fire. Today, I forgive myself.","Kristin Cashore, Fire","archer, cruelty, evil, fire, forgiveness, kristin-cashore, power"
354725,...the only way to get through life is to laugh your way through it. you either have to laugh or cry. I prefer to laugh. Crying gives me a headache.,"Marjorie Pay Hinckley, Small and Simple Things","crying, laughter, life-lessons"
155640,A government that thinks it can remedy personal failure is an intrusion in everybody’s life. No law is going to cure a human’s lack of physical or mental effectiveness. I’d rather see democracy promote strength than reward weakness.,"Dan Groat, A Punctual Paymaster","failure, government, lack-of-effectiveness, strength, weakness"
107077,"The challenge lies in knowing how to bring this sort of day to a close. His mind has been wound to a pitch of concentration by the interactions of the office. Now there are only silence and the flashing of the unset clock on the microwave. He feels as if he had been playing a computer game which remorselessly tested his reflexes, only to have its plug suddenly pulled from the wall. He is impatient and restless, but simultaneously exhausted and fragile. He is in no state to engage with anything significant. It is of course impossible to read, for a sincere book would demand not only time, but also a clear emotional lawn around the text in which associations and anxieties could emerge and be disentangled. He will perhaps only ever do one thing well in his life.For this particular combination of tiredness and nervous energy, the sole workable solution is wine. Office civilisation could not be feasible without the hard take-offs and landings effected by coffee and alcohol.","Alain de Botton, The Pleasures and Sorrows of Work","alcohol, coffee, exhaustion, nervous-energy, relaxation, work"
389137,"Our tolerance is part of what makes Britain Britain. So conform to it, or don't come here.",Tony Blair,"britain, conformism, liberalism, tolerance"
199168,"I am, as far as I can tell, about a month behind Lord Byron. In every town we stop at we discover innkeepers, postillions, officials, burghers, potboys, and all kinds and sorts of ladies whose brains still seem somewhat deranged from their brief exposure to his lordship. And though my companions are careful to tell people that I am that dreadful being, an English magician, I am clearly nothing in comparison to an English poet and everywhere I go I enjoy the reputation- quite new to me, I assure you- of the quiet, good Englishman, who makes no noise and is no trouble to any one...","Susanna Clarke, Jonathan Strange & Mr Norrell","jonathan-strange-mr-norrell, lord-byron, magic"
161873,"The poem or the discovery exists in two moments of vision: the moment of appreciation as much as that of creation; for the appreciator must see the movement, wake to the echo which was started in the creation of the work. In the moment of appreciation we live again the moment when the creator saw and held the hidden likeness. When a simile takes us aback and persuades us together, when we find a juxtaposition in a picture both odd and intriguing, when a theory is at once fresh and convincing, we do not merely nod over someone else's work. We re-enact the creative act, and we ourselves make the discovery again......Reality is not an exhibit for man's inspection, labeled: ""Do not touch."" There are no appearances to be photographed, no experiences to be copied, in which we do not take part. We re-make nature by the act of discovery, in the poem or in the theorem. And the great poem and the deep theorem are new to every reader, and yet are his own experiences, because he himself re-creates them. They are the marks of unity in variety; and in the instant when the mind seizes this for itself, in art or in science, the heart misses a beat.",Jacob Bronowski,"communication, creativity, discovery, reading, sharing, understanding"
310898,"What moves men of genius, or rather, what inspires their work, is not new ideas, but their obsession with the idea that what has already been said is not enough.",Edouard Delacroix,ideas
419416,Nothing succeeds like success.,Alexander Dumas,success
340009,Sometimes being a nice person is all about knowing when to be an asshole.,John Cheese,"addiction, asshole, cracked, friendship"
364034,"In the meantime, the first characteristic of a really revolutionary party is -- to be able to look reality in the face.","Leon Trotsky, Fascism: What It Is and How to Fight It",communism
71225,"You may wonder why so many of my quotes - and all my work - is about love, compassion and inner peace? Because life is nothing, empty, bereft without these things.",Rasheed Ogunlaru,"compassion, compassion-quotes, inner-peace, love, love-quotes, rasheed-ogunlaru, rasheed-ogunlaru-quotes, words-of-wisdom"
196894,"There’s a little angel on one of my shoulders saying that this is a wicked thing to do. Then there’s a little devil on my other shoulder, and she looks a lot like you.","Christina Harlin, Possessed","ghost, ghost-hunters, haunting, paranormal-romance, paranormal-thriller, possession"
417095,Whatever you may be sure of  be sure of this - that you are dreadfully like other people.,James Russell Lowell,"self, self, knowledge"
153876,"even I get angry ,as I see something lovable ,immediately I want to hug him indeep love .anger takes a place of flowof breathing in peace",litymunshi,"anger, life, love, peace-quote, psychology"
455504,The French cook we open tins.,John Galsworthy,"Open, Cook, French "
337834,"My cat is not insane, she's just a really good actress.","P.C. Cast, Untamed",cats
227417,"Stop looking for the path of least resistance and start running down the path of greatest glory to God and good to others, because that's what Jesus, the Real Man, did.","Mark Driscoll, Real Marriage: The Truth About Sex, Friendship, and Life Together","adventure, manhood, masculinity, risk"
271248,When it comes to life the critical thing is whether you take things for granted or take them with gratitude.,G.K. Chesterton,gratitude
60219,The brain can be a dangerous thing. Even more so if you haven't got one.,"Dave Courtney, Raving Lunacy: Clubbed To Death","funny, humour, smiling"
233007,"When some smart ass asks you if you’re driving, you say, 'Nope, just kicking the tires.’ You have to make sure you actually kick them all on your way around to the passenger side. Otherwise it’s like lying.","Elle Lothlorien, Alice in Wonderland",contemporary-romance
449741,"For this generation, ours, life is nuclear survival, liberty is human rights, the pursuit of happiness is a planet whose resources are devoted to the physical and spiritual nourishment of its inhabitants.",Jimmy Carter,"Life, Spiritual, Survival "
314400,Water is gold in the desert.,Matshona Dhliwayo,"value-quotes, wise-quotes, wise-sayings"
204247,"I actually thought you would be kind,"" said the vampire.""Go away!"" screamed Devnee.He did not answer.""I didn't have to be kind,"" Devnee told him. ""Victoria was kind for me.""He laughed.""No one can be kind for you, my dear,"" said the vampire. ""But I don't mind, of course. I have you now. There's no escape, my dear. You and I, Devnee Fountain, are a team.","Caroline B. Cooney, Evil Returns","kind, kindness, vampire"
108179,The dangerous temptation of wildlife films is that they can lull us into thinking we can get by without the original models -- that we might not need animals in the flesh.,"Doug Peacock, Grizzly Years: In Search of the American Wilderness","film, nature, wildlife"
317891,My heart immersed in the depths of your eyes.,Kristian Goldmund Aumann,love-quote
443084,"Culture cannot be separated from politics. The arts, philosophy and metaphysics, religion and the sciences, constitute culture. Politics are the science or art of organizing our relationships to allow for the development of life in society.",Eugene Ionesco,"Life, Art, Culture "
53394,Have the courage to love yourself like you always wished someone would.,Vironika Tugaleva,"courage, love-yourself, relationships, self-compassion, self-esteem, self-love"
337923,i wish cats could float around your head,"Megan Boyle, Selected Unpublished Blog Posts of a Mexican Panda Express Employee",cats
440614,"It was that famous joke: What's the last thing the drummer said before he got kicked out of the band? 'Hey, I wrote a song.'",Dave Grohl,"Song, Said, Drummer "
372157,A low possibility means it's not zero. - Tokuchi Toua,Kaitani Shinobu,"one-outs, psychological, sports, tokuchi-toua"
289950,What if Theater was the Pong of the the digital Ping?A place where the live experience has an function?,Natasha Tsakos,"live, modern, performance, technology, theatre"
379761,"Dumbledore raised his finger for silence, a silence which fell as though he had struck Uncle Vernon dumb.","J.K. Rowling, Harry Potter and the Half-Blood Prince","authority, awesome, dumbledore, harry-potter, j-k-rowling, power, uncle-vernon"
55427,"Today resolve to get rid of all the negativity that has been eating you away, dump those thoughts which create self doubt, do away with views that create self pity and make a new beginning. Life hasn’t ended, your page is still being written and you have a long way to go. Remember, every day is a new day and you can decide to start life anew whenever you want to. So go ahead write a new page, a new chapter of your life today and make it as colorful as you want. After all, you have only one life to live- make the most of it.",Latika Teotia,"begin-again, let-go, life-lessons, new-chapter, regrets-of-the-past"
310434,"This generation - it's almost a religious thing now. The millennium, the end days, no need to be responsible anymore to the future. A burden has been lifted from them. The Baby Jesus is managing the portfolio of earthly affairs, and nobody begrudges Him the carried interest...",Thomas Pynchon,"capitalism, religion"
